,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Colour,Seats,No. of Doors,Price,Mileage_value,Mileage_unit,Engine_value,Engine_unit,Power_value,Power_unit,Company_Name,Model_Name
101,Tata Indica,Hyderabad,2011.0,96000.0,Diesel,Manual,Second,White,5.0,4.0,0.91,17.88,kmpl,1396.0,CC,52.8,bhp,Tata,Indica
102,BMW 5,Pune,2008.0,112500.0,Diesel,Automatic,First,Black/Silver,5.0,4.0,7.99,11.5,kmpl,2993.0,CC,235.0,bhp,BMW,5
103,Ford Ecosport,Coimbatore,2019.0,23154.0,Diesel,Manual,First,Black/Silver,5.0,4.0,11.65,23.0,kmpl,1498.0,CC,98.96,bhp,Ford,Ecosport
104,Maruti Ciaz,Kochi,2018.0,41283.0,Petrol,Manual,First,Others,5.0,4.0,9.9,20.73,kmpl,1373.0,CC,91.1,bhp,Maruti,Ciaz
105,Audi Q7,Coimbatore,2012.0,91743.0,Diesel,Automatic,First,Black/Silver,7.0,5.0,28.55,12.07,kmpl,2967.0,CC,241.4,bhp,Audi,Q7
106,Volvo S80,Hyderabad,2008.0,79000.0,Diesel,Automatic,First,Black/Silver,5.0,4.0,10.99,13.1,kmpl,2400.0,CC,215.0,bhp,Volvo,S80
107,Hyundai EON,Hyderabad,2013.0,84600.0,Petrol,Manual,Second,White,5.0,4.0,2.5,21.1,kmpl,814.0,CC,55.2,bhp,Hyundai,EON
108,Land Rover Range,Coimbatore,2017.0,49275.0,Diesel,Automatic,First,Others,5.0,4.0,45.64,12.7,kmpl,2179.0,CC,187.7,bhp,Land rover, Range rover
109,Ford Figo,Chennai,2010.0,107389.0,Diesel,Manual,Second,White,5.0,4.0,1.9,20.0,kmpl,1399.0,CC,68.0,bhp,Ford,Figo
110,Tata Indica,Chennai,2016.0,178000.0,Diesel,Manual,First,Others,5.0,4.0,2.5,25.0,kmpl,1396.0,CC,69.0,bhp,Tata,Indica
111,Maruti Wagon,Kolkata,2015.0,14000.0,Petrol,Manual,First,Black/Silver,5.0,4.0,2.8,18.9,kmpl,998.0,CC,67.1,bhp,Maruti,Wagon
112,Maruti Swift,Coimbatore,2019.0,41075.0,Diesel,Manual,First,Black/Silver,5.0,4.0,8.4,28.4,kmpl,1248.0,CC,74.0,bhp,Maruti,Swift
113,Land Rover Range,Coimbatore,2013.0,75995.0,Diesel,Automatic,Second,White,5.0,4.0,65.81,11.49,kmpl,4367.0,CC,335.3,bhp,Land rover, Range rover
114,Hyundai i10,Kochi,2014.0,58472.0,Petrol,Manual,First,Others,5.0,4.0,3.41,19.81,kmpl,1086.0,CC,68.05,bhp,Hyundai,i10
115,Toyota Innova,Coimbatore,2017.0,65367.0,Diesel,Automatic,First,Black/Silver,7.0,4.0,20.14,11.36,kmpl,2755.0,CC,171.5,bhp,Toyota,Innova
116,Skoda Fabia,Jaipur,2009.0,87459.0,Petrol,Manual,First,Others,5.0,4.0,2.75,14.7,kmpl,1390.0,CC,85.0,bhp,Skoda,Fabia
117,Volkswagen Vento,Kochi,2016.0,50867.0,Diesel,Manual,First,Black/Silver,5.0,4.0,7.95,20.34,kmpl,1498.0,CC,103.2,bhp,Volkswagen,Vento
118,Volkswagen Polo,Hyderabad,2013.0,74000.0,Diesel,Manual,First,Others,5.0,4.0,4.85,22.07,kmpl,1199.0,CC,73.9,bhp,Volkswagen,Polo
119,Maruti Wagon,Delhi,2011.0,68000.0,Petrol,Manual,First,White,5.0,4.0,2.5,18.9,kmpl,998.0,CC,67.1,bhp,Maruti,Wagon
120,Honda City,Pune,2014.0,58407.0,Petrol,Manual,First,Others,5.0,4.0,6.16,17.4,kmpl,1497.0,CC,117.3,bhp,Honda,City
121,Audi A4,Ahmedabad,2011.0,59000.0,Diesel,Automatic,First,Others,5.0,4.0,12.5,16.55,kmpl,1968.0,CC,140.0,bhp,Audi,A4
122,Maruti Swift,Coimbatore,2017.0,46849.0,Petrol,Automatic,First,White,5.0,4.0,6.93,18.5,kmpl,1197.0,CC,83.14,bhp,Maruti,Swift
123,Mercedes-Benz E-Class,Coimbatore,2018.0,41467.0,Diesel,Automatic,First,Others,5.0,4.0,37.98,15.0,kmpl,2143.0,CC,204.0,bhp,Mercedes-Benz,E-Class
124,Maruti Ciaz,Hyderabad,2017.0,15234.0,Petrol,Automatic,First,White,5.0,4.0,9.95,19.12,kmpl,1373.0,CC,91.1,bhp,Maruti,Ciaz
125,Mahindra Scorpio,Bangalore,2015.0,35000.0,Diesel,Manual,Second,Others,7.0,5.0,8.5,15.4,kmpl,2179.0,CC,120.0,bhp,Mahindra,Scorpio
126,Honda Brio,Mumbai,2017.0,20000.0,Petrol,Automatic,First,White,5.0,4.0,5.99,16.5,kmpl,1198.0,CC,86.8,bhp,Honda,Brio
127,Honda Amaze,Pune,2015.0,79000.0,Petrol,Manual,First,Black/Silver,5.0,4.0,4.0,18.0,kmpl,1198.0,CC,86.7,bhp,Honda,Amaze
128,Honda Jazz,Coimbatore,2017.0,49575.0,Petrol,Manual,First,White,5.0,4.0,7.17,18.7,kmpl,1199.0,CC,88.7,bhp,Honda,Jazz
129,Land Rover Discovery,Mumbai,2017.0,35000.0,Diesel,Automatic,First,White,7.0,5.0,41.6,18.0,kmpl,2993.0,CC,255.0,bhp,Land rover, Discovery
130,Ford Ikon,Jaipur,2010.0,82000.0,Diesel,Manual,Second,White,5.0,4.0,1.0,13.8,kmpl,1399.0,CC,68.0,bhp,Ford,Ikon
131,Ford Figo,Mumbai,2010.0,69009.0,Petrol,Manual,Second,Others,5.0,4.0,2.4,15.6,kmpl,1196.0,CC,70.0,bhp,Ford,Figo
132,Audi A6,Kolkata,2010.0,35010.0,Diesel,Automatic,First,Black/Silver,5.0,4.0,11.5,12.4,kmpl,2698.0,CC,179.5,bhp,Audi,A6
133,Toyota Innova,Delhi,2012.0,62000.0,Diesel,Manual,First,White,7.0,4.0,7.75,12.99,kmpl,2494.0,CC,100.0,bhp,Toyota,Innova
134,Toyota Corolla,Chennai,2009.0,32000.0,Petrol,Manual,Second,Others,5.0,4.0,4.95,14.28,kmpl,1798.0,CC,138.03,bhp,Toyota,Corolla
135,Maruti Swift,Kochi,2015.0,35082.0,Diesel,Manual,First,Black/Silver,5.0,4.0,6.61,23.4,kmpl,1248.0,CC,74.0,bhp,Maruti,Swift
136,Maruti Wagon,Delhi,2009.0,60000.0,Petrol,Manual,First,Others,5.0,4.0,1.35,18.9,kmpl,1061.0,CC,67.0,bhp,Maruti,Wagon
137,Hyundai Santa,Coimbatore,2013.0,65278.0,Diesel,Manual,First,Others,7.0,5.0,8.36,14.66,kmpl,2199.0,CC,194.3,bhp,Hyundai,Santa
138,Maruti SX4,Jaipur,2016.0,70000.0,Diesel,Manual,First,White,5.0,4.0,8.85,23.65,kmpl,1248.0,CC,88.5,bhp,Maruti,SX4
139,Maruti Alto,Bangalore,2014.0,73000.0,Petrol,Manual,Second,Others,5.0,4.0,2.75,24.7,kmpl,796.0,CC,47.3,bhp,Maruti,Alto
140,Mahindra Bolero,Hyderabad,2017.0,40279.0,Diesel,Manual,First,Others,7.0,5.0,8.0,16.5,kmpl,1493.0,CC,70.0,bhp,Mahindra,Bolero
141,Hyundai i10,Ahmedabad,2014.0,51000.0,Petrol,Manual,First,White,5.0,4.0,3.75,20.36,kmpl,1197.0,CC,78.9,bhp,Hyundai,i10
142,Maruti Baleno,Kochi,2018.0,42243.0,Diesel,Manual,First,White,5.0,4.0,7.48,27.39,kmpl,1248.0,CC,74.0,bhp,Maruti,Baleno
143,Volkswagen Vento,Kolkata,2015.0,39000.0,Petrol,Manual,First,White,5.0,4.0,3.99,15.04,kmpl,1598.0,CC,103.2,bhp,Volkswagen,Vento
144,Maruti Ritz,Kolkata,2011.0,150000.0,Petrol,Manual,First,Others,5.0,4.0,2.5,18.5,kmpl,1197.0,CC,85.8,bhp,Maruti,Ritz
145,Maruti Swift,Kolkata,2016.0,100000.0,Diesel,Manual,First,Others,5.0,4.0,3.5,23.4,kmpl,1248.0,CC,74.0,bhp,Maruti,Swift
146,Maruti Dzire,Pune,2012.0,150000.0,Diesel,Manual,Third,White,5.0,4.0,2.25,28.4,kmpl,1248.0,CC,73.75,bhp,Maruti,Dzire
147,Renault KWID,Kolkata,2017.0,25000.0,Petrol,Manual,First,Others,5.0,4.0,2.99,25.17,kmpl,799.0,CC,53.3,bhp,Renault,KWID
148,Maruti Wagon,Hyderabad,2015.0,45295.0,Petrol,Manual,First,Black/Silver,5.0,4.0,4.3,18.9,kmpl,998.0,CC,67.1,bhp,Maruti,Wagon
149,Volkswagen Vento,Jaipur,2016.0,33000.0,Petrol,Manual,First,White,5.0,4.0,7.7,16.09,kmpl,1598.0,CC,103.5,bhp,Volkswagen,Vento
150,Maruti Swift,Hyderabad,2016.0,52000.0,Diesel,Manual,First,Others,5.0,4.0,5.95,28.4,kmpl,1248.0,CC,74.0,bhp,Maruti,Swift
151,Maruti Celerio,Delhi,2014.0,21701.0,Petrol,Manual,First,Black/Silver,5.0,4.0,3.38,23.1,kmpl,998.0,CC,67.04,bhp,Maruti,Celerio
152,Hyundai i20,Coimbatore,2012.0,38214.0,Petrol,Manual,Second,White,5.0,4.0,4.05,18.5,kmpl,1197.0,CC,80.0,bhp,Hyundai,i20
153,Maruti Ertiga,Hyderabad,2015.0,59245.0,Diesel,Manual,First,Others,7.0,5.0,8.5,20.77,kmpl,1248.0,CC,88.8,bhp,Maruti,Ertiga
154,Chevrolet Optra,Jaipur,2007.0,118500.0,Petrol,Manual,First,White,5.0,4.0,1.25,12.9,kmpl,1598.0,CC,102.5,bhp,Chevrolet,Optra
155,Honda City,Coimbatore,2018.0,20300.0,Petrol,Automatic,First,White,5.0,4.0,14.21,18.0,kmpl,1497.0,CC,117.3,bhp,Honda,City
156,Mercedes-Benz GLC,Bangalore,2016.0,44414.0,Diesel,Automatic,First,White,5.0,4.0,42.5,17.9,kmpl,2143.0,CC,170.0,bhp,Mercedes-Benz,GLC
